File Name; Single; Multi; Spark
0.csv;24;19;49
1.csv;51;27;68
2.csv;26;24;43
3.csv;44;29;60
4.csv;48;34;48
5.csv;32;24;66
6.csv;47;34;56
7.csv;46;35;51
8.csv;41;39;60
9.csv;50;33;71
10.csv;32;32;51
11.csv;39;37;80
12.csv;48;35;69
13.csv;47;39;71
14.csv;60;48;52
15.csv;39;41;70
16.csv;67;44;67
17.csv;53;36;77
18.csv;69;55;50
19.csv;47;40;62
20.csv;73;52;58
21.csv;61;44;57
22.csv;54;61;60
23.csv;66;58;70
24.csv;63;54;66
25.csv;56;49;55
26.csv;61;52;68
27.csv;64;67;85
28.csv;74;54;58
29.csv;64;59;74
30.csv;79;62;58
31.csv;52;45;75
32.csv;70;54;66
33.csv;73;56;79
34.csv;76;58;78
35.csv;77;59;63
36.csv;66;54;80
37.csv;78;63;87
38.csv;75;58;64
39.csv;68;60;70
